GW Pos. Heuristic,ED Sched. Method,Position distr.,Periods distr.,Map size,ED Number,ED Dens. (1/m^2),Max. SF,GW Number,Channels used,Coverage %,GW Avg. UF,Elapsed,Iterations,Exit condition
Greedy,None,Uniform,Hard,2000,10000,0,12,196,8,100,0.02,289078,1,Max. iterations
Greedy,None,Uniform,Hard,2000,10000,0,12,196,8,100,0.02,312074,1,Max. iterations
Greedy,None,Uniform,Hard,2000,10000,0,12,196,8,100,0.02,312190,1,Max. iterations
Greedy,None,Uniform,Hard,2000,10000,0,12,196,8,100,0.02,312195,1,Max. iterations
Greedy,None,Uniform,Hard,2000,10000,0,12,196,8,100,0.02,312195,1,Max. iterations
Greedy,None,Uniform,Hard,2000,10000,0,12,195,8,100,0.02,288377,1,Max. iterations
Greedy,None,Uniform,Hard,2000,10000,0,12,195,8,100,0.02,288450,1,Max. iterations
Greedy,None,Uniform,Hard,2000,10000,0,12,195,8,100,0.02,304695,1,Max. iterations
Greedy,None,Uniform,Hard,2000,10000,0,12,195,8,100,0.02,304939,1,Max. iterations
Greedy,None,Uniform,Hard,2000,10000,0,12,195,8,100,0.02,304967,1,Max. iterations
Greedy,None,Uniform,Hard,2000,20000,0,12,212,8,100,0.04,1271345,1,Max. iterations
Greedy,None,Uniform,Hard,2000,20000,0,12,212,8,100,0.04,1291483,1,Max. iterations
Greedy,None,Uniform,Hard,2000,20000,0,12,212,8,100,0.04,1337045,1,Max. iterations
Greedy,None,Uniform,Hard,2000,20000,0,12,212,8,100,0.04,1337702,1,Max. iterations
Greedy,None,Uniform,Hard,2000,20000,0,12,212,8,100,0.04,1339409,1,Max. iterations
Greedy,None,Uniform,Hard,2000,20000,0,12,223,8,100,0.04,1398249,1,Max. iterations
Greedy,None,Uniform,Hard,2000,20000,0,12,223,8,100,0.04,1419165,1,Max. iterations
Greedy,None,Uniform,Hard,2000,20000,0,12,223,8,100,0.04,1436215,1,Max. iterations
Greedy,None,Uniform,Hard,2000,20000,0,12,223,8,100,0.04,1439337,1,Max. iterations
Greedy,None,Uniform,Hard,2000,20000,0,12,223,8,100,0.04,1446119,1,Max. iterations
Greedy,None,Uniform,Medium,100,1000,0.1,12,1,1,100,0.09,123,1,Max. iterations
Greedy,None,Uniform,Medium,100,1000,0.1,12,1,1,100,0.09,124,1,Max. iterations
Greedy,None,Uniform,Medium,100,1000,0.1,12,1,1,100,0.09,124,1,Max. iterations
Greedy,None,Uniform,Medium,100,1000,0.1,12,1,1,100,0.09,124,1,Max. iterations
Greedy,None,Uniform,Medium,100,1000,0.1,12,1,1,100,0.09,125,1,Max. iterations
Greedy,None,Uniform,Medium,100,1000,0.1,12,1,1,100,0.09,120,1,Max. iterations
Greedy,None,Uniform,Medium,100,1000,0.1,12,1,1,100,0.09,124,1,Max. iterations
Greedy,None,Uniform,Medium,100,1000,0.1,12,1,1,100,0.09,124,1,Max. iterations
Greedy,None,Uniform,Medium,100,1000,0.1,12,1,1,100,0.09,124,1,Max. iterations
Greedy,None,Uniform,Medium,100,1000,0.1,12,1,1,100,0.09,124,1,Max. iterations
Greedy,None,Uniform,Medium,100,2000,0.2,12,1,1,100,0.18,494,1,Max. iterations
Greedy,None,Uniform,Medium,100,2000,0.2,12,1,1,100,0.18,505,1,Max. iterations
Greedy,None,Uniform,Medium,100,2000,0.2,12,1,1,100,0.18,505,1,Max. iterations
Greedy,None,Uniform,Medium,100,2000,0.2,12,1,1,100,0.18,505,1,Max. iterations
Greedy,None,Uniform,Medium,100,2000,0.2,12,1,1,100,0.18,506,1,Max. iterations
Greedy,None,Uniform,Medium,100,2000,0.2,12,1,1,100,0.18,505,1,Max. iterations
Greedy,None,Uniform,Medium,100,2000,0.2,12,1,1,100,0.18,510,1,Max. iterations
Greedy,None,Uniform,Medium,100,2000,0.2,12,1,1,100,0.18,511,1,Max. iterations
Greedy,None,Uniform,Medium,100,2000,0.2,12,1,1,100,0.18,511,1,Max. iterations
Greedy,None,Uniform,Medium,100,2000,0.2,12,1,1,100,0.18,512,1,Max. iterations
Greedy,None,Uniform,Medium,100,5000,0.5,12,2,2,100,0.18,3704,1,Max. iterations
Greedy,None,Uniform,Medium,100,5000,0.5,12,2,2,100,0.18,3824,1,Max. iterations
Greedy,None,Uniform,Medium,100,5000,0.5,12,2,2,100,0.18,3829,1,Max. iterations
Greedy,None,Uniform,Medium,100,5000,0.5,12,2,2,100,0.18,3831,1,Max. iterations
Greedy,None,Uniform,Medium,100,5000,0.5,12,2,2,100,0.18,3837,1,Max. iterations
Greedy,None,Uniform,Medium,100,5000,0.5,12,2,2,100,0.2,3575,1,Max. iterations
Greedy,None,Uniform,Medium,100,5000,0.5,12,2,2,100,0.2,3582,1,Max. iterations
Greedy,None,Uniform,Medium,100,5000,0.5,12,2,2,100,0.2,3791,1,Max. iterations
Greedy,None,Uniform,Medium,100,5000,0.5,12,2,2,100,0.2,3810,1,Max. iterations
Greedy,None,Uniform,Medium,100,5000,0.5,12,2,2,100,0.2,3823,1,Max. iterations
Greedy,None,Uniform,Medium,100,10000,1,12,3,3,100,0.25,16913,1,Max. iterations
Greedy,None,Uniform,Medium,100,10000,1,12,3,3,100,0.25,17572,1,Max. iterations
Greedy,None,Uniform,Medium,100,10000,1,12,3,3,100,0.25,17583,1,Max. iterations
Greedy,None,Uniform,Medium,100,10000,1,12,3,3,100,0.25,17594,1,Max. iterations
Greedy,None,Uniform,Medium,100,10000,1,12,3,3,100,0.25,17595,1,Max. iterations
Greedy,None,Uniform,Medium,100,10000,1,12,3,3,100,0.26,17918,1,Max. iterations
Greedy,None,Uniform,Medium,100,10000,1,12,3,3,100,0.26,17984,1,Max. iterations
Greedy,None,Uniform,Medium,100,10000,1,12,3,3,100,0.26,17991,1,Max. iterations
Greedy,None,Uniform,Medium,100,10000,1,12,3,3,100,0.26,18008,1,Max. iterations
Greedy,None,Uniform,Medium,100,10000,1,12,3,3,100,0.26,18016,1,Max. iterations
Greedy,None,Uniform,Medium,100,20000,2,12,6,6,100,0.25,97404,1,Max. iterations
Greedy,None,Uniform,Medium,100,20000,2,12,6,6,100,0.25,98234,1,Max. iterations
Greedy,None,Uniform,Medium,100,20000,2,12,6,6,100,0.25,102934,1,Max. iterations
Greedy,None,Uniform,Medium,100,20000,2,12,6,6,100,0.25,103019,1,Max. iterations
Greedy,None,Uniform,Medium,100,20000,2,12,6,6,100,0.25,103210,1,Max. iterations
Greedy,None,Uniform,Medium,100,20000,2,12,6,6,100,0.25,95358,1,Max. iterations
Greedy,None,Uniform,Medium,100,20000,2,12,6,6,100,0.25,105171,1,Max. iterations
Greedy,None,Uniform,Medium,100,20000,2,12,6,6,100,0.25,105623,1,Max. iterations
