MOGA2,generada.dat,GW,24,2548,0.0383351
MOGA2WS,generada.dat,E,14,1127,0.0532039
MOGA2,generada.dat,E,27,2038,0.0484116
MOGA2,generada.dat,UF,30,2360,0.0161211
MOGA2WS,generada.dat,UF,25,1416,0.0110371
GreedyMO,generada.dat,-,6,1035,0.0612662
MOGA2,generada.dat,GW,24,2316,0.0383106
MOGA2WS,generada.dat,GW,5,1188,0.0682611
MOGA2WS,generada.dat,E,12,1156,0.0311296
MOGA2,generada.dat,E,30,2208,0.02623
MOGA2,generada.dat,UF,30,2528,0.020202
MOGA2WS,generada.dat,UF,29,1832,0.0141171
GreedyMO,generada.dat,-,6,1089,0.0471979
MOGA2,generada.dat,GW,24,2636,0.0282341
MOGA2,generada.dat,E,27,2212,0.0342946
MOGA2WS,generada.dat,GW,6,1310,0.0692822
MOGA2WS,generada.dat,E,13,1140,0.0391597
MOGA2WS,generada.dat,UF,30,1884,0.0221816
MOGA2,generada.dat,UF,29,2348,0.0201695
GreedyMO,generada.dat,-,5,1080,0.056225
MOGA2,generada.dat,GW,22,2376,0.0403471
MOGA2WS,generada.dat,GW,6,1218,0.110428
MOGA2,generada.dat,E,30,2068,0.022206
MOGA2WS,generada.dat,E,20,1153,0.0351376
MOGA2,generada.dat,UF,30,2208,0.0181251
MOGA2WS,generada.dat,UF,28,1828,0.0160643
GreedyMO,generada.dat,-,6,1066,0.0471616
MOGA2,generada.dat,GW,22,2480,0.0362741
MOGA2WS,generada.dat,GW,6,1184,0.0662913
MOGA2WS,generada.dat,E,18,1132,0.0552139
MOGA2,generada.dat,E,29,2222,0.020202
MOGA2,generada.dat,UF,30,2376,0.0201695
MOGA2WS,generada.dat,UF,26,1515,0.0140663
GreedyMO,generada.dat,-,5,1082,0.0592219
MOGA2WS,generada.dat,GW,5,1192,0.0833305
MOGA2,generada.dat,GW,24,2434,0.0262221
MOGA2WS,generada.dat,E,18,1162,0.0220864
MOGA2,generada.dat,E,28,2139,0.0282665
MOGA2,generada.dat,UF,30,2316,0.0161211
MOGA2WS,generada.dat,UF,28,1770,0.0140583
GreedyMO,generada.dat,-,6,1048,0.0431456
MOGA2WS,generada.dat,GW,6,1219,0.0712802
MOGA2,generada.dat,GW,24,2552,0.0383675
MOGA2,generada.dat,E,30,2106,0.02421
MOGA2,generada.dat,UF,29,2272,0.0201695
MOGA2WS,generada.dat,UF,26,1650,0.0150492
MOGA2WS,generada.dat,E,7,1194,0.069248
GreedyMO,generada.dat,-,6,1017,0.0321205
MOGA2WS,generada.dat,GW,8,1309,0.068245
MOGA2,generada.dat,GW,22,2340,0.0403392
MOGA2,generada.dat,E,29,2064,0.0423266
MOGA2WS,generada.dat,E,9,1214,0.0552159
MOGA2,generada.dat,UF,30,2332,0.0181655
MOGA2WS,generada.dat,UF,28,1728,0.0140663
